PARCELNO,VDC,WARDNO,GRIDS1,Sheet_No,UID,Class,VDC_Name
1551,119,4,40100000,D 4Ka,D01551040100000,Residential Zone,Devnagar
1550,119,4,40100000,D 4Ka,D11550040100000,Residential Zone,Devnagar
1547,119,4,40100000,D 4Ka,D21547040100000,Residential Zone,Devnagar
1517,119,4,40100000,D 4Ka,D31517040100000,Residential Zone,Devnagar
1518,119,4,40100000,D 4Ka,D41518040100000,Residential Zone,Devnagar
1152,119,4,40100000,D 4Ka,D51152040100000,Residential Zone,Devnagar
1533,119,4,40100000,D 4Ka,D61533040100000,Residential Zone,Devnagar
510926,119,4,40100000,D 4Ka,D7510926040100000,Residential Zone,Devnagar
927,119,4,40100000,D 4Ka,D8927040100000,Residential Zone,Devnagar
18,119,4,40100000,D 4Ka,D918040100000,Residential Zone,Devnagar
928,119,4,40100000,D 4Ka,D10928040100000,Residential Zone,Devnagar
1060,119,4,40100000,D 4Ka,D111060040100000,Residential Zone,Devnagar
501062,119,4,40100000,D 4Ka,D12501062040100000,Residential Zone,Devnagar
1412,119,4,40100000,D 4Ka,D131412040100000,Residential Zone,Devnagar
1413,119,4,40100000,D 4Ka,D141413040100000,Residential Zone,Devnagar
842,119,4,40100000,D 4Ka,D15842040100000,Residential Zone,Devnagar
1397,119,4,40100000,D 4Ka,D161397040100000,Residential Zone,Devnagar
1396,119,4,40100000,D 4Ka,D171396040100000,Residential Zone,Devnagar
24,119,4,40100000,D 4Ka,D1824040100000,Residential Zone,Devnagar
988,119,4,40100000,D 4Ka,D19988040100000,Residential Zone,Devnagar
1399,119,4,40100000,D 4Ka,D201399040100000,Residential Zone,Devnagar
1398,119,4,40100000,D 4Ka,D211398040100000,Residential Zone,Devnagar
22,119,4,40100000,D 4Ka,D2222040100000,Residential Zone,Devnagar
20,119,4,40100000,D 4Ka,D2320040100000,Residential Zone,Devnagar
21,119,4,40100000,D 4Ka,D2421040100000,Residential Zone,Devnagar
1231,119,4,40100000,D 4Ka,D251231040100000,Residential Zone,Devnagar
1229,119,4,40100000,D 4Ka,D261229040100000,Residential Zone,Devnagar
1230,119,4,40100000,D 4Ka,D271230040100000,Residential Zone,Devnagar
1232,119,4,40100000,D 4Ka,D281232040100000,Residential Zone,Devnagar
29,119,4,40100000,D 4Ka,D2929040100000,Residential Zone,Devnagar
31,119,4,40100000,D 4Ka,D3031040100000,Residential Zone,Devnagar
1462,119,4,40100000,D 4Ka,D311462040100000,Residential Zone,Devnagar
1463,119,4,40100000,D 4Ka,D321463040100000,Residential Zone,Devnagar
1464,119,4,40100000,D 4Ka,D331464040100000,Residential Zone,Devnagar
1465,119,4,40100000,D 4Ka,D341465040100000,Residential Zone,Devnagar
32,119,4,40100000,D 4Ka,D3532040100000,Residential Zone,Devnagar
1456,119,4,40100000,D 4Ka,D361456040100000,Residential Zone,Devnagar
1457,119,4,40100000,D 4Ka,D371457040100000,Residential Zone,Devnagar
41,119,4,40100000,D 4Ka,D3841040100000,Agricultural Zone,Devnagar
40,119,4,40100000,D 4Ka,D3940040100000,Agricultural Zone,Devnagar
45,119,4,40100000,D 4Ka,D4045040100000,Agricultural Zone,Devnagar
42,119,4,40100000,D 4Ka,D4142040100000,Agricultural Zone,Devnagar
43,119,4,40100000,D 4Ka,D4243040100000,Agricultural Zone,Devnagar
1191,119,4,40100000,D 4Ka,D431191040100000,Agricultural Zone,Devnagar
1192,119,4,40100000,D 4Ka,D441192040100000,Agricultural Zone,Devnagar
16,119,4,40100000,D 4Ka,D4516040100000,Residential Zone,Devnagar
14,119,4,40100000,D 4Ka,D4614040100000,Agricultural Zone,Devnagar
1061,119,4,40100000,D 4Ka,D471061040100000,Residential Zone,Devnagar
9,119,4,40100000,D 4Ka,D489040100000,Agricultural Zone,Devnagar
876,119,4,40100000,D 4Ka,D49876040100000,Residential Zone,Devnagar
1626,119,4,40100000,D 4Ka,D501626040100000,Residential Zone,Devnagar
1537,119,4,40100000,D 4Ka,D511537040100000,Agricultural Zone,Devnagar
1536,119,4,40100000,D 4Ka,D521536040100000,Agricultural Zone,Devnagar
1535,119,4,40100000,D 4Ka,D531535040100000,Residential Zone,Devnagar
827,119,4,40100000,D 4Ka,D54827040100000,Residential Zone,Devnagar
6,119,4,40100000,D 4Ka,D556040100000,Residential Zone,Devnagar
2,119,4,40100000,D 4Ka,D562040100000,Residential Zone,Devnagar
1545,119,4,40100000,D 4Ka,D571545040100000,Residential Zone,Devnagar
1534,119,4,40100000,D 4Ka,D581534040100000,Residential Zone,Devnagar
770,119,4,40100000,D 4Ka,D59770040100000,Agricultural Zone,Devnagar
771,119,4,40100000,D 4Ka,D60771040100000,Agricultural Zone,Devnagar
56,119,4,40100000,D 4Ka,D6156040100000,Agricultural Zone,Devnagar
13,119,4,40100000,D 4Ka,D6213040100000,Agricultural Zone,Devnagar
10,119,4,40100000,D 4Ka,D6310040100000,Agricultural Zone,Devnagar
11,119,4,40100000,D 4Ka,D6411040100000,Agricultural Zone,Devnagar
17,119,4,40100000,D 4Ka,D6517040100000,Agricultural Zone,Devnagar
58,119,4,40100000,D 4Ka,D6658040100000,Agricultural Zone,Devnagar
60,119,4,40100000,D 4Ka,D6760040100000,Agricultural Zone,Devnagar
59,119,4,40100000,D 4Ka,D6859040100000,Agricultural Zone,Devnagar
61,119,4,40100000,D 4Ka,D6961040100000,Agricultural Zone,Devnagar
54,119,4,40100000,D 4Ka,D7054040100000,Agricultural Zone,Devnagar
772,119,4,40100000,D 4Ka,D71772040100000,Agricultural Zone,Devnagar
773,119,4,40100000,D 4Ka,D72773040100000,Agricultural Zone,Devnagar
52,119,4,40100000,D 4Ka,D7352040100000,Agricultural Zone,Devnagar
46,119,4,40100000,D 4Ka,D7446040100000,Agricultural Zone,Devnagar
1018,119,4,40100000,D 4Ka,D751018040100000,Agricultural Zone,Devnagar
1017,119,4,40100000,D 4Ka,D761017040100000,Agricultural Zone,Devnagar
1765,119,4,40100000,D 4Ka,D771765040100000,Residential Zone,Devnagar
1016,119,4,40100000,D 4Ka,D781016040100000,Residential Zone,Devnagar
39,119,4,40100000,D 4Ka,D7939040100000,Residential Zone,Devnagar
1467,119,4,40100000,D 4Ka,D801467040100000,Residential Zone,Devnagar
1466,119,4,40100000,D 4Ka,D811466040100000,Residential Zone,Devnagar
1469,119,4,40100000,D 4Ka,D821469040100000,Residential Zone,Devnagar
1468,119,4,40100000,D 4Ka,D831468040100000,Residential Zone,Devnagar
1015,119,4,40100000,D 4Ka,D841015040100000,Residential Zone,Devnagar
1193,119,4,40100000,D 4Ka,D851193040100000,Agricultural Zone,Devnagar
1194,119,4,40100000,D 4Ka,D861194040100000,Agricultural Zone,Devnagar
890,119,4,40100000,D 4Ka,D87890040100000,Residential Zone,Devnagar
891,119,4,40100000,D 4Ka,D88891040100000,Residential Zone,Devnagar
35,119,4,40100000,D 4Ka,D8935040100000,Residential Zone,Devnagar
36,119,4,40100000,D 4Ka,D9036040100000,Agricultural Zone,Devnagar
1072,119,4,40100000,D 4Ka,D911072040100000,Residential Zone,Devnagar
1074,119,4,40100000,D 4Ka,D921074040100000,Residential Zone,Devnagar
99,119,4,40100000,D 4Ka,D9399040100000,Agricultural Zone,Devnagar
98,119,4,40100000,D 4Ka,D9498040100000,Agricultural Zone,Devnagar
103,119,4,40100000,D 4Ka,D95103040100000,Residential Zone,Devnagar
97,119,4,40100000,D 4Ka,D9697040100000,Agricultural Zone,Devnagar
96,119,4,40100000,D 4Ka,D9796040100000,Agricultural Zone,Devnagar
92,119,4,40100000,D 4Ka,D9892040100000,Agricultural Zone,Devnagar
93,119,4,40100000,D 4Ka,D9993040100000,Agricultural Zone,Devnagar
1195,119,4,40100000,D 4Ka,D1001195040100000,Agricultural Zone,Devnagar
1196,119,4,40100000,D 4Ka,D1011196040100000,Agricultural Zone,Devnagar
95,119,4,40100000,D 4Ka,D10295040100000,Agricultural Zone,Devnagar
1020,119,4,40100000,D 4Ka,D1031020040100000,Agricultural Zone,Devnagar
1021,119,4,40100000,D 4Ka,D1041021040100000,Agricultural Zone,Devnagar
1019,119,4,40100000,D 4Ka,D1051019040100000,Agricultural Zone,Devnagar
47,119,4,40100000,D 4Ka,D10647040100000,Agricultural Zone,Devnagar
50,119,4,40100000,D 4Ka,D10750040100000,Agricultural Zone,Devnagar
85,119,4,40100000,D 4Ka,D10885040100000,Agricultural Zone,Devnagar
84,119,4,40100000,D 4Ka,D10984040100000,Agricultural Zone,Devnagar
83,119,4,40100000,D 4Ka,D11083040100000,Agricultural Zone,Devnagar
78,119,4,40100000,D 4Ka,D11178040100000,Agricultural Zone,Devnagar
64,119,4,40100000,D 4Ka,D11264040100000,Agricultural Zone,Devnagar
65,119,4,40100000,D 4Ka,D11365040100000,Agricultural Zone,Devnagar
62,119,4,40100000,D 4Ka,D11462040100000,Agricultural Zone,Devnagar
91,119,4,40100000,D 4Ka,D11591040100000,Agricultural Zone,Devnagar
90,119,4,40100000,D 4Ka,D11690040100000,Agricultural Zone,Devnagar
89,119,4,40100000,D 4Ka,D11789040100000,Agricultural Zone,Devnagar
49,119,4,40100000,D 4Ka,D11849040100000,Agricultural Zone,Devnagar
86,119,4,40100000,D 4Ka,D11986040100000,Agricultural Zone,Devnagar
87,119,4,40100000,D 4Ka,D12087040100000,Agricultural Zone,Devnagar
88,119,4,40100000,D 4Ka,D12188040100000,Agricultural Zone,Devnagar
1022,119,4,40100000,D 4Ka,D1221022040100000,Residential Zone,Devnagar
1023,119,4,40100000,D 4Ka,D1231023040100000,Residential Zone,Devnagar
105,119,4,40100000,D 4Ka,D124105040100000,Agricultural Zone,Devnagar
1203,119,4,40100000,D 4Ka,D1251203040100000,Agricultural Zone,Devnagar
1204,119,4,40100000,D 4Ka,D1261204040100000,Agricultural Zone,Devnagar
107,119,4,40100000,D 4Ka,D127107040100000,Agricultural Zone,Devnagar
109,119,4,40100000,D 4Ka,D128109040100000,Residential Zone,Devnagar
1075,119,4,40100000,D 4Ka,D1291075040100000,Residential Zone,Devnagar
1079,119,4,40100000,D 4Ka,D1301079040100000,Residential Zone,Devnagar
113,119,4,40100000,D 4Ka,D131113040100000,Residential Zone,Devnagar
114,119,4,40100000,D 4Ka,D132114040100000,Residential Zone,Devnagar
115,119,4,40100000,D 4Ka,D133115040100000,Residential Zone,Devnagar
111,119,4,40100000,D 4Ka,D134111040100000,Agricultural Zone,Devnagar
759,119,4,40100000,D 4Ka,D135759040100000,Agricultural Zone,Devnagar
117,119,4,40100000,D 4Ka,D136117040100000,Agricultural Zone,Devnagar
1470,119,4,40100000,D 4Ka,D1371470040100000,Agricultural Zone,Devnagar
1471,119,4,40100000,D 4Ka,D1381471040100000,Residential Zone,Devnagar
1472,119,4,40100000,D 4Ka,D1391472040100000,Residential Zone,Devnagar
138,119,4,40100000,D 4Ka,D140138040100000,Residential Zone,Devnagar
128,119,4,40100000,D 4Ka,D141128040100000,Agricultural Zone,Devnagar
129,119,4,40100000,D 4Ka,D142129040100000,Agricultural Zone,Devnagar
130,119,4,40100000,D 4Ka,D143130040100000,Agricultural Zone,Devnagar
849,119,4,40100000,D 4Ka,D144849040100000,Agricultural Zone,Devnagar
760,119,4,40100000,D 4Ka,D145760040100000,Agricultural Zone,Devnagar
1205,119,4,40100000,D 4Ka,D1461205040100000,Agricultural Zone,Devnagar
1206,119,4,40100000,D 4Ka,D1471206040100000,Agricultural Zone,Devnagar
850,119,4,40100000,D 4Ka,D148850040100000,Agricultural Zone,Devnagar
125,119,4,40100000,D 4Ka,D149125040100000,Agricultural Zone,Devnagar
126,119,4,40100000,D 4Ka,D150126040100000,Agricultural Zone,Devnagar
1118,119,4,40100000,D 4Ka,D1511118040100000,Agricultural Zone,Devnagar
1120,119,4,40100000,D 4Ka,D1521120040100000,Agricultural Zone,Devnagar
1369,119,4,40100000,D 4Ka,D1531369040100000,Agricultural Zone,Devnagar
1367,119,4,40100000,D 4Ka,D1541367040100000,Agricultural Zone,Devnagar
1368,119,4,40100000,D 4Ka,D1551368040100000,Agricultural Zone,Devnagar
1370,119,4,40100000,D 4Ka,D1561370040100000,Agricultural Zone,Devnagar
151,119,4,40100000,D 4Ka,D157151040100000,Residential Zone,Devnagar
146,119,4,40100000,D 4Ka,D158146040100000,Residential Zone,Devnagar
145,119,4,40100000,D 4Ka,D159145040100000,Residential Zone,Devnagar
147,119,4,40100000,D 4Ka,D160147040100000,Residential Zone,Devnagar
149,119,4,40100000,D 4Ka,D161149040100000,Residential Zone,Devnagar
148,119,4,40100000,D 4Ka,D162148040100000,Residential Zone,Devnagar
1078,119,4,40100000,D 4Ka,D1631078040100000,Residential Zone,Devnagar
140,119,4,40100000,D 4Ka,D164140040100000,Agricultural Zone,Devnagar
501300,119,4,40100000,D 4Ka,D165501300040100000,Residential Zone,Devnagar
1199,119,4,40100000,D 4Ka,D1661199040100000,Residential Zone,Devnagar
1117,119,4,40100000,D 4Ka,D1671117040100000,Residential Zone,Devnagar
132,119,4,40100000,D 4Ka,D168132040100000,Residential Zone,Devnagar
133,119,4,40100000,D 4Ka,D169133040100000,Residential Zone,Devnagar
134,119,4,40100000,D 4Ka,D170134040100000,Residential Zone,Devnagar
135,119,4,40100000,D 4Ka,D171135040100000,Residential Zone,Devnagar
136,119,4,40100000,D 4Ka,D172136040100000,Residential Zone,Devnagar
137,119,4,40100000,D 4Ka,D173137040100000,Residential Zone,Devnagar
79,119,4,40100000,D 4Ka,D17479040100000,Agricultural Zone,Devnagar
77,119,4,40100000,D 4Ka,D17577040100000,Agricultural Zone,Devnagar
76,119,4,40100000,D 4Ka,D17676040100000,Agricultural Zone,Devnagar
75,119,4,40100000,D 4Ka,D17775040100000,Agricultural Zone,Devnagar
848,119,4,40100000,D 4Ka,D178848040100000,Agricultural Zone,Devnagar
847,119,4,40100000,D 4Ka,D179847040100000,Agricultural Zone,Devnagar
82,119,4,40100000,D 4Ka,D18082040100000,Agricultural Zone,Devnagar
81,119,4,40100000,D 4Ka,D18181040100000,Agricultural Zone,Devnagar
119,119,4,40100000,D 4Ka,D182119040100000,Agricultural Zone,Devnagar
120,119,4,40100000,D 4Ka,D183120040100000,Agricultural Zone,Devnagar
121,119,4,40100000,D 4Ka,D184121040100000,Agricultural Zone,Devnagar
123,119,4,40100000,D 4Ka,D185123040100000,Agricultural Zone,Devnagar
1197,119,4,40100000,D 4Ka,D1861197040100000,Agricultural Zone,Devnagar
1198,119,4,40100000,D 4Ka,D1871198040100000,Agricultural Zone,Devnagar
