PARCELNO,VDC,WARDNO,GRIDS1,Sheet_No,UID,Class,VDC_Name
642,34,1,10000000,M1,M0642010000000,Residential Zone,Majhaura
643,34,1,10000000,M1,M1643010000000,Residential Zone,Majhaura
4,34,1,10000000,M1,M24010000000,Agricultural Zone,Majhaura
376,34,1,10000000,M1,M3376010000000,PublicUse Zone,Majhaura
572,34,1,10000000,M1,M4572010000000,Agricultural Zone,Majhaura
573,34,1,10000000,M1,M5573010000000,Agricultural Zone,Majhaura
574,34,1,10000000,M1,M6574010000000,Agricultural Zone,Majhaura
8,34,1,10000000,M1,M78010000000,Residential Zone,Majhaura
571,34,1,10000000,M1,M8571010000000,Residential Zone,Majhaura
570,34,1,10000000,M1,M9570010000000,Residential Zone,Majhaura
569,34,1,10000000,M1,M10569010000000,Residential Zone,Majhaura
645,34,1,10000000,M1,M11645010000000,Residential Zone,Majhaura
644,34,1,10000000,M1,M12644010000000,Residential Zone,Majhaura
10,34,1,10000000,M1,M1310010000000,Residential Zone,Majhaura
11,34,1,10000000,M1,M1411010000000,Residential Zone,Majhaura
9,34,1,10000000,M1,M159010000000,Residential Zone,Majhaura
449,34,1,10000000,M1,M16449010000000,Residential Zone,Majhaura
450,34,1,10000000,M1,M17450010000000,Residential Zone,Majhaura
451,34,1,10000000,M1,M18451010000000,Residential Zone,Majhaura
716,34,1,10000000,M1,M19716010000000,Residential Zone,Majhaura
715,34,1,10000000,M1,M20715010000000,Residential Zone,Majhaura
417,34,1,10000000,M1,M21417010000000,Residential Zone,Majhaura
402,34,1,10000000,M1,M22402010000000,Residential Zone,Majhaura
396,34,1,10000000,M1,M23396010000000,Agricultural Zone,Majhaura
403,34,1,10000000,M1,M24403010000000,Residential Zone,Majhaura
492,34,1,10000000,M1,M25492010000000,Residential Zone,Majhaura
20,34,1,10000000,M1,M2620010000000,Agricultural Zone,Majhaura
19,34,1,10000000,M1,M2719010000000,Agricultural Zone,Majhaura
683,34,1,10000000,M1,M28683010000000,Agricultural Zone,Majhaura
22,34,1,10000000,M1,M2922010000000,Agricultural Zone,Majhaura
21,34,1,10000000,M1,M3021010000000,Agricultural Zone,Majhaura
397,34,1,10000000,M1,M31397010000000,Agricultural Zone,Majhaura
838,34,1,10000000,M1,M32838010000000,Agricultural Zone,Majhaura
810,34,1,10000000,M1,M33810010000000,Agricultural Zone,Majhaura
7,34,1,10000000,M1,M347010000000,Residential Zone,Majhaura
811,34,1,10000000,M1,M35811010000000,Agricultural Zone,Majhaura
839,34,1,10000000,M1,M36839010000000,Agricultural Zone,Majhaura
677,34,1,10000000,M1,M37677010000000,Agricultural Zone,Majhaura
678,34,1,10000000,M1,M38678010000000,Agricultural Zone,Majhaura
684,34,1,10000000,M1,M39684010000000,Agricultural Zone,Majhaura
679,34,1,10000000,M1,M40679010000000,Agricultural Zone,Majhaura
580,34,1,10000000,M1,M41580010000000,Agricultural Zone,Majhaura
579,34,1,10000000,M1,M42579010000000,Agricultural Zone,Majhaura
578,34,1,10000000,M1,M43578010000000,Agricultural Zone,Majhaura
685,34,1,10000000,M1,M44685010000000,Agricultural Zone,Majhaura
708,34,1,10000000,M1,M45708010000000,Agricultural Zone,Majhaura
30,34,1,10000000,M1,M4630010000000,Agricultural Zone,Majhaura
32,34,1,10000000,M1,M4732010000000,Agricultural Zone,Majhaura
33,34,1,10000000,M1,M4833010000000,Agricultural Zone,Majhaura
28,34,1,10000000,M1,M4928010000000,Agricultural Zone,Majhaura
577,34,1,10000000,M1,M50577010000000,Agricultural Zone,Majhaura
576,34,1,10000000,M1,M51576010000000,Agricultural Zone,Majhaura
575,34,1,10000000,M1,M52575010000000,Agricultural Zone,Majhaura
665,34,1,10000000,M1,M53665010000000,Agricultural Zone,Majhaura
664,34,1,10000000,M1,M54664010000000,Agricultural Zone,Majhaura
707,34,1,10000000,M1,M55707010000000,Agricultural Zone,Majhaura
663,34,1,10000000,M1,M56663010000000,Agricultural Zone,Majhaura
23,34,1,10000000,M1,M5723010000000,Agricultural Zone,Majhaura
26,34,1,10000000,M1,M5826010000000,Agricultural Zone,Majhaura
795,34,1,10000000,M1,M59795010000000,Agricultural Zone,Majhaura
796,34,1,10000000,M1,M60796010000000,Agricultural Zone,Majhaura
34,34,1,10000000,M1,M6134010000000,Agricultural Zone,Majhaura
35,34,1,10000000,M1,M6235010000000,Agricultural Zone,Majhaura
36,34,1,10000000,M1,M6336010000000,Agricultural Zone,Majhaura
494,34,1,10000000,M1,M64494010000000,Agricultural Zone,Majhaura
495,34,1,10000000,M1,M65495010000000,Agricultural Zone,Majhaura
791,34,1,10000000,M1,M66791010000000,Agricultural Zone,Majhaura
790,34,1,10000000,M1,M67790010000000,Agricultural Zone,Majhaura
392,34,1,10000000,M1,M68392010000000,Agricultural Zone,Majhaura
406,34,1,10000000,M1,M69406010000000,Agricultural Zone,Majhaura
41,34,1,10000000,M1,M7041010000000,PublicUse Zone,Majhaura
16,34,1,10000000,M1,M7116010000000,Residential Zone,Majhaura
15,34,1,10000000,M1,M7215010000000,Residential Zone,Majhaura
405,34,1,10000000,M1,M73405010000000,Agricultural Zone,Majhaura
837,34,1,10000000,M1,M74837010000000,Residential Zone,Majhaura
996,34,1,10000000,M1,M75996010000000,Agricultural Zone,Majhaura
997,34,1,10000000,M1,M76997010000000,Residential Zone,Majhaura
493,34,1,10000000,M1,M77493010000000,Residential Zone,Majhaura
221,34,1,10000000,M1,M78221010000000,Agricultural Zone,Majhaura
222,34,1,10000000,M1,M79222010000000,Agricultural Zone,Majhaura
220,34,1,10000000,M1,M80220010000000,Residential Zone,Majhaura
223,34,1,10000000,M1,M81223010000000,Residential Zone,Majhaura
318,34,1,10000000,M1,M82318010000000,PublicUse Zone,Majhaura
258,34,1,10000000,M1,M83258010000000,Residential Zone,Majhaura
566,34,1,10000000,M1,M84566010000000,Residential Zone,Majhaura
565,34,1,10000000,M1,M85565010000000,Residential Zone,Majhaura
256,34,1,10000000,M1,M86256010000000,Residential Zone,Majhaura
588,34,1,10000000,M1,M87588010000000,Residential Zone,Majhaura
558,34,1,10000000,M1,M88558010000000,Residential Zone,Majhaura
559,34,1,10000000,M1,M89559010000000,Residential Zone,Majhaura
545,34,1,10000000,M1,M90545010000000,Residential Zone,Majhaura
253,34,1,10000000,M1,M91253010000000,Residential Zone,Majhaura
246,34,1,10000000,M1,M92246010000000,Residential Zone,Majhaura
630,34,1,10000000,M1,M93630010000000,Residential Zone,Majhaura
629,34,1,10000000,M1,M94629010000000,Agricultural Zone,Majhaura
247,34,1,10000000,M1,M95247010000000,Agricultural Zone,Majhaura
252,34,1,10000000,M1,M96252010000000,Agricultural Zone,Majhaura
264,34,1,10000000,M1,M97264010000000,Agricultural Zone,Majhaura
265,34,1,10000000,M1,M98265010000000,Agricultural Zone,Majhaura
475,34,1,10000000,M1,M99475010000000,Agricultural Zone,Majhaura
476,34,1,10000000,M1,M100476010000000,Agricultural Zone,Majhaura
779,34,1,10000000,M1,M101779010000000,Agricultural Zone,Majhaura
778,34,1,10000000,M1,M102778010000000,Agricultural Zone,Majhaura
777,34,1,10000000,M1,M103777010000000,Agricultural Zone,Majhaura
248,34,1,10000000,M1,M104248010000000,Agricultural Zone,Majhaura
242,34,1,10000000,M1,M105242010000000,Agricultural Zone,Majhaura
631,34,1,10000000,M1,M106631010000000,Residential Zone,Majhaura
628,34,1,10000000,M1,M107628010000000,Residential Zone,Majhaura
560,34,1,10000000,M1,M108560010000000,Residential Zone,Majhaura
561,34,1,10000000,M1,M109561010000000,Residential Zone,Majhaura
547,34,1,10000000,M1,M110547010000000,Residential Zone,Majhaura
703,34,1,10000000,M1,M111703010000000,Residential Zone,Majhaura
240,34,1,10000000,M1,M112240010000000,Agricultural Zone,Majhaura
